,X,GISJOINID,POP15,POP15DEN,PCTPOPCHA,MDAGE,PCINC15,PCTINCCHA,MDHV15,MDHVCHA,MDCRENT15,PCTMDCR,PCTHSAFF15,PCTHSBRD15,PCTBACH15,PCTVA15,PCTFAM15,HSUNIT15,HS15DEN,MDBLDAGE15,PCTCTLT15,PCTCT1540,PCTCTMT40,PCTPT,PCTMBW,PCTCAR,PCTSAMEHS,PCTMETROPC,CL11_2,CL4_2
515,515,G42010100274023,748,17828.16762,-48.1994,23.7,15479,18.0162,75200,-31.5742,839,18.3357,24.6914,75.3086,14.6479,16.5939,92.1466,229,5458.08875,75,20.0837,30.5439,49.3724,39.74895397,0,60.251,100,0,8,4
516,516,G42010100274024,2544,58091.01232,59.5985,25.9,11330,-17.7376,86200,-13.0172,773,1.7105,31.6872,14.4033,6.1993,3.9855,79.6226,828,18906.98042,76,11.9048,40.0794,48.0159,41.4021164,1.9841,56.6138,92.3789,7.6211,11,4
517,517,G42010100010011,1443,30565.0392,11.8605,60.9,103049,2.219,631400,41.6648,1636,17.3601,62.2642,30.1887,88.1913,14.7986,34.8407,1142,24189.3796,43,11.8667,68.5333,19.6,20.93023256,25.8398,49.2248,92.5156,6.5835,4,2
518,518,G42010100367001,1362,5949.483999,35.9281,33.9,77740,43.0122,342100,-1.554,1526,8.8445,84.6729,9.5327,81.3162,9.0531,23.4554,961,4197.837095,70,19.7674,59.3918,20.8408,26.86440678,17.9661,48.8983,78.047,16.5932,10,2
519,519,G42010100321001,1789,19852.27781,-1.7573,25.4,12828,20.2137,98800,-4.9086,777,14.9408,25.2101,61.3445,8.559,15.8516,60.1202,593,6580.436411,72,17.5908,54.4933,27.9159,7.421150278,3.3395,86.2709,92.8452,7.1548,8,3
520,520,G42010100191005,2007,9612.490317,-6.5207,32.5,9989,-31.8808,111400,4.4049,0,0,48.1707,51.8293,10.0935,11.7754,72.0739,552,2643.794048,68,17.1698,63.9623,18.8679,15.14084507,8.6268,59.331,94.0756,5.9244,8,3
521,521,G42010100111004,928,16313.52646,-27.2727,40.5,11552,-2.6298,77500,33.8515,642,46.9108,44.5946,37.8378,17.6962,21.3251,41.0526,483,8490.76862,63,13.3971,38.756,47.8469,49.77777778,7.5556,31.1111,81.2571,9.9429,3,4
522,522,G42010100113001,937,16273.24664,-33.357,36.2,21935,13.5587,97100,1.2513,705,2.3222,62.5,37.5,15.8554,15.3646,60.3077,384,6669.078668,76,15.5814,38.6047,45.814,43.25581395,0,56.7442,97.9723,2.0277,3,4
523,523,G42010100266008,732,28263.87814,-3.6842,45,31344,36.219,107500,1.5109,0,0,100,0,3.1579,15.3257,86.8778,261,10077.69425,70,0,51.6892,48.3108,28.71621622,0,71.2838,93.7158,4.5082,5,3
524,524,G42010100267006,1062,35573.89617,20.1357,42.9,21592,67.4447,85600,-15.415,817,29.6825,24.1245,70.8171,5.4545,0,70.3797,395,13231.34556,76,14.6127,59.507,25.8803,52.46478873,0,47.5352,67.7966,32.2034,11,4
525,525,G42010100272001,999,30825.79708,39.7203,37.8,23759,-9.6753,144700,10.7116,764,0,83.0189,16.9811,21.2662,4.5226,60.5263,398,12280.94819,55,22.9614,39.2704,37.7682,19.74789916,0,74.1597,88.2353,3.3469,5,3
526,526,G42010100362023,1545,12210.3011,1.9129,39.6,29723,6.6296,260000,9.3816,0,0,0,0,24.5245,0,81.2992,508,4014.778615,54,19.04,51.84,29.12,9.92,2.72,87.36,96.6343,2.4595,5,3
527,527,G42010100362032,1199,11248.37899,11.9514,34.9,25970,-6.0827,199600,-3.2946,0,0,0,0,13.2986,0,79.9492,394,3696.298015,47,31.3659,46.3744,22.2597,4.047217538,1.3491,94.6037,97.1643,1.3344,5,3
528,528,G42010100168006,830,10440.36851,33.0128,35.6,14350,52.9199,42800,35.0158,599,26.6385,40.4255,51.5957,9.5406,28.0083,42.6513,482,6062.96099,76,14.2857,44.3609,41.3534,42.10526316,2.6316,55.2632,86.3855,13.6145,3,4
529,529,G42010100200002,801,10794.67546,11.0957,26.7,12131,-29.561,92600,49.5961,577,25.4348,54.8936,40.4255,25.8537,28.2937,52.1084,463,6239.618897,64,23.9044,61.3546,14.741,32.72058824,3.3088,56.25,72.5201,17.6944,6,4
530,530,G42010100115004,986,37247.26243,24.6523,25,17841,28.3987,135000,29.9326,728,-4.712,15.4362,73.8255,25,12.9032,74.8148,310,11710.59975,68,9.9448,50.2762,39.779,28.72928177,0,71.2707,96.3983,2.6483,8,4
531,531,G42010100118006,957,36406.25687,5.9801,34.2,20517,19.8913,123400,-11.8571,0,0,0,0,0,0,84.058,207,7874.707599,76,9.7872,43.8298,46.383,40.42553191,0,59.5745,100,0,8,4
532,532,G42010100273004,1073,35318.7103,-26.3049,23,15674,34.7721,110200,10.0899,680,7.2555,70.339,29.661,0,7.3955,64.9306,311,10236.83029,62,37.3239,29.5775,33.0986,31.69014085,0,68.3099,88.7232,11.2768,5,4
533,533,G42010100274021,1938,64585.8505,43.0258,25.6,16084,39.0868,84800,-13.5576,724,48.3607,54.1063,39.1304,8.1532,12.4812,87.2852,665,22161.81145,76,16.0234,50.8772,33.0994,46.78899083,0,50.4587,82.4303,16.9911,11,4
534,534,G42010100276001,1267,11650.65947,2.5911,29.3,16478,-19.0986,120200,13.2893,737,14.7975,36.413,50.5435,14.003,15.5405,55.4,592,5443.717764,66,3.1189,31.7739,65.1072,64.52241715,0,35.4776,92.1073,7.8927,3,4
535,535,G42010100277006,994,28642.22955,67.0588,25,20012,23.1735,89900,92.094,749,0,39.6694,60.3306,15.493,7.2581,82.029,372,10719.22474,69,0,6.4516,93.5484,77.41935484,0,6.4516,69.1147,28.5714,3,4
536,536,G42010100001002,1826,10298.3875,7.7922,32.5,96995,28.3257,346700,2.362,1560,18.003,62.5,21.3663,81.2736,15.0327,29.6154,1224,6903.190744,76,24.6309,54.8563,20.5128,30.35982009,29.3853,36.7316,65.9912,26.8346,4,1
537,537,G42010100002001,2331,15784.7779,21.4695,32.5,41597,29.2756,265400,4.201,1171,79.6012,65.0435,24.3478,54.266,12.3162,45.1782,1088,7367.584023,47,32.2289,43.5994,24.1717,18.76396128,47.0588,33.0603,77.1515,16.0499,4,1
538,538,G42010100298004,1162,14031.69094,91.7492,32,12641,-1.7335,91000,7.8199,665,6.4,29.1498,48.1781,9.8529,14.1856,54.6939,571,6895.090816,62,7.064,63.1347,29.8013,28.26086957,3.0435,67.1739,85.5422,14.4578,8,3
539,539,G42010100192004,1662,24899.09485,-23.0199,26.6,8685,5.8114,0,0,693,16.0804,17.0455,78.0303,4.3337,35.5878,88.75,621,9303.452409,74,11.3139,74.8175,13.8686,55.74324324,10.473,26.3514,53.8745,41.2669,11,4
540,540,G42010100288003,1064,12706.38134,-45.0129,37.3,17264,106.0143,86300,1.889,576,3.7838,56.9378,23.9234,7.8101,20.5285,65.2174,492,5875.507162,66,2.6316,41.3158,56.0526,29.71014493,0,52.8986,78.9821,19.8869,3,4
541,541,G42010100109002,518,30684.00873,22.4586,23,11333,23.7632,203600,-2.1624,0,0,24.3697,50.4202,9.9099,27.907,54.1935,215,12735.64069,60,20.8791,47.8022,31.3187,30.21978022,10.4396,59.3407,88.0859,11.9141,6,4
542,542,G42010100110002,731,17375.33202,-18.0493,31.5,14423,-32.9412,113300,36.6707,628,5.5462,34.0996,44.0613,5.7522,39.011,33.3333,546,12978.01817,76,18.9944,70.3911,10.6145,34.63687151,29.6089,35.7542,97.155,2.845,6,4
543,543,G42010100114003,1179,43508.19443,41.3669,36.9,21689,1.5355,77200,5.1771,644,0,46.875,53.125,5.4255,0,73.991,446,16458.57058,76,0,71.5706,28.4294,88.27037773,0,11.7296,88.2103,11.7897,11,4
544,544,G42010100114004,1200,42208.85347,44.7527,43.7,12858,-25.1267,94200,-2.7864,924,47.1338,28.5714,61.4286,33.2956,6.9767,72.5,430,15124.83916,76,0,86.6071,13.3929,45.56962025,0,48.9451,97.5107,2.4893,11,4
545,545,G42010100268003,943,16061.50248,63.4315,33.1,19292,-5.3571,161700,57.9102,701,17.8151,19.2308,80.7692,34.2636,3.9548,50.5882,354,6029.450559,72,4.6667,44.6667,50.6667,7.166123779,0,76.873,96.5005,3.4995,8,3
546,546,G42010100269001,870,14786.72056,-0.2294,54.7,18798,0.9668,212500,-4.9217,814,29.2063,39.2857,35.7143,17.8144,5.1724,71.8182,232,3943.125483,76,17.7165,62.5984,19.685,21.25984252,7.4803,71.2598,91.2644,6.3218,5,3
547,547,G42010100038001,1286,43432.70016,26.8245,42.8,26130,-46.9592,202200,1.2012,0,0,44.4444,55.5556,12.654,1.8913,72.7711,423,14286.18365,76,14.9362,64.4809,20.5829,39.67684022,10.772,46.6786,98.982,1.018,11,4
548,548,G42010100206001,1724,3301.009452,-24.386,33.1,40755,49.686,420800,30.2383,942,24.9337,40.9867,44.592,59.6206,22.0682,42.6813,938,1796.024864,60,20.3463,63.6364,16.0173,24.05405405,5.2703,64.3243,73.5103,17.5221,2,2
549,549,G42010100202001,989,11625.74669,-21.6323,41.1,11697,-27.438,59700,-6.1321,0,0,0,11.6129,12.2417,16.4151,40.6321,530,6230.177698,76,26.3682,64.6766,8.9552,31.84079602,20.8955,47.2637,77.3101,11.3963,6,4
550,550,G42010100118001,734,15679.00266,-41.4673,37.8,24577,5.8213,166000,-11.9363,0,0,100,0,17.2117,0,90.3084,227,4848.955865,76,2.5937,31.7003,65.7061,36.88760807,0,63.1124,83.515,16.485,5,4
551,551,G42010100118002,1340,31391.77025,20.3953,39.3,24407,43.4525,142700,25.7269,726,0,72.1311,17.377,32.3061,9.7731,64.2166,573,13423.49579,71,43.8291,39.7152,16.4557,18.35443038,5.3797,76.2658,87.7023,1.8608,5,3
552,552,G42010100274013,884,22770.79336,-3.0702,29.8,17052,75.7395,92100,-15.7365,574,-2.0478,48.4536,51.5464,20.3053,19.9063,62.2807,427,10999.01444,76,3.4188,61.1111,35.4701,13.24786325,2.9915,83.7607,80.3167,18.552,6,3
553,553,G42010100274012,924,18583.36741,53.4884,34.7,14742,-28.579,139200,40.0402,674,16.609,11.5385,81.7308,12.204,25.1592,80,314,6315.127021,74,2.0349,53.7791,44.186,31.73333333,1.8667,58.1333,86.1642,7.0866,8,4
554,554,G42010100083021,886,25796.26429,58.2143,43,26676,68.6327,86400,18.3562,816,24.7706,44.206,37.7682,5.8452,8.642,41.6667,486,14150.09531,71,6.3973,69.697,23.9057,96.96969697,0,3.0303,91.1964,7.2235,3,4
555,555,G42010100176021,1940,43323.66888,-10.7636,26.1,8112,3.0881,61600,28.8703,596,7.3874,16.6253,63.5236,4.6351,8.8235,60.1613,680,15185.61589,76,2.6667,65.0667,32.2667,36.53333333,0,58.9333,82.3711,16.0825,11,4
556,556,G42010100188004,1391,31609.67514,191.6143,21.7,8358,-40.6392,38500,-54.7059,345,-35.514,21.9512,78.0488,0,19.0594,70.0306,404,9180.667691,76,0,51.5152,48.4848,58.24915825,13.468,28.2828,93.9954,6.0046,11,4
557,557,G42010100112007,720,27952.72042,-28.2869,41.7,8318,-21.8453,64600,10.8062,0,0,16.0494,0,1.919,8.8372,23.7245,430,16693.98581,76,5.9783,74.4565,19.5652,38.04347826,0,61.9565,100,0,6,4
558,558,G42010100112005,757,25892.77854,-56.8661,25.3,15306,12.5441,82000,-1.2048,450,-31.6109,71.0345,28.9655,4.5455,31.3187,39.2,546,18675.63684,75,1.0582,1.0582,97.8836,61.37566138,7.9365,30.6878,99.3188,0.6812,3,4
559,559,G42010100114005,1657,30352.4192,-38.3786,39.1,26670,109.2421,138100,16.5401,540,9.5335,37.9052,52.8678,19.8234,13.1841,63.467,804,14727.42609,76,2.1705,37.6744,60.155,44.49612403,0,44.3411,93.9487,6.0513,3,4
560,560,G42010100266003,514,24525.83626,43.1755,36,28704,59.724,83100,13.9918,0,0,96,4,5,0,67.3913,184,8779.676795,62,0,89.2045,10.7955,0,0,99.435,100,0,5,3
561,561,G42010100362021,1468,15129.38164,-16.8272,38.8,23188,-10.8771,181400,-10.7723,910,15.4822,28.5714,49.6241,26.1364,6.1983,45.0808,726,7482.241876,49,12.1864,52.1505,35.6631,22.75985663,0,77.2401,94.4142,5.5858,2,3
562,562,G42010100292001,1956,21383.28514,31.0992,35.9,18688,24.8363,91800,-18.4,647,3.0255,51.5284,44.5415,5.2344,24.7894,78.72,831,9084.61654,65,11.2207,55.2404,33.5388,25.27743527,2.5894,67.3243,92.9548,7.0452,8,3
563,563,G42010100353022,2403,5361.348704,-8.3174,46.4,29474,15.016,207500,-4.6415,840,18.4767,48.7738,40.5995,19.2771,3.3042,54.5729,1029,2295.808496,49,28.8776,33.7755,37.3469,12.7,4,81.3,90.3428,6.0619,2,3
564,564,G42010100083023,894,26400.6257,3.4722,32.3,14309,1.3098,69000,-15.1292,608,-3.7975,53.2609,46.7391,22.3752,23.8095,49.7024,441,13023.12744,74,7.3826,56.3758,36.2416,51.00671141,0,38.5906,82.0602,16.8981,3,4
565,565,G42010100115002,1341,35901.16006,-23.1078,34.4,19553,11.2103,113500,12.4876,913,18.1113,0,74.6667,24.0046,7.2897,55.8468,535,14322.98332,76,9.3023,47.3837,43.314,25.87209302,2.1802,71.9477,97.7397,1.4809,8,4
566,566,G42010100119003,843,14421.71289,-27.4527,31.6,9244,-28.7718,78100,64.0756,839,243.8525,7.874,92.126,6.1151,36.9732,56.231,522,8930.170973,76,0,40,60,49.71428571,0,50.2857,98.0025,1.9975,7,4
