,X,GISJOINID,POP15,POP15DEN,PCTPOPCHA,MDAGE,PCINC15,PCTINCCHA,MDHV15,MDHVCHA,MDCRENT15,PCTMDCR,PCTHSAFF15,PCTHSBRD15,PCTBACH15,PCTVA15,PCTFAM15,HSUNIT15,HS15DEN,MDBLDAGE15,PCTCTLT15,PCTCT1540,PCTCTMT40,PCTPT,PCTMBW,PCTCAR,PCTSAMEHS,PCTMETROPC,CL11_2,CL4_2
1,1,G53003300121002,1802,4344.910517,14.4126997,43.1,48693,2.176,374600,-16.8664,1614,38.6598,76.9231,11.5385,48.3575,0,72.6471,680,1639.588874,60,20.1764,59.9779,19.8456,5.6452,1.5121,84.2742,91.5831,7.0234,10,2
2,2,G53003300121001,1051,1330.034161,6.1616001,50,78339,-4.7759,619000,-15.3099,1198,5.18,71.4286,0,69.0888,9.3066,63.3803,548,693.490695,59,7.8095,62.8571,29.3333,12.305,0,72.7903,88.2969,11.7031,10,2
3,3,G53003300120003,1265,6931.258419,-3.4351001,37.6,52689,53.2682,412700,-6.7555,1399,-10.8349,91.1111,8.8889,63.1757,8.6486,65.8777,555,3040.986895,71,14.121,59.2219,26.6571,13.8705,0,77.8071,84.2607,12.6391,10,2
4,4,G53003300120001,1050,5834.522523,0.9615,42.6,34923,-8.6479,282700,-1.9424,1250,-7.27,44.1176,55.8824,32.0849,0,47.6285,506,2811.684187,67,11.7647,49.5256,38.7097,13.6895,4.6745,69.616,81.4493,11.7874,2,3
5,5,G53003300063002,1079,1304.562014,-13.5417004,64.2,141007,41.4455,1062500,6.2499,1360,-11.86,48.5207,47.3373,74.7126,25.495,53.3223,808,976.9102016,53,18.4848,81.5152,0,14.5125,0,60.3175,94.81,5.19,10,2
6,6,G53003300063001,1260,1612.863635,-18.0221004,48.1,73015,26.1075,780400,17.4947,1416,22.3855,77.1127,17.6056,69.8784,7.5792,32.0685,884,1131.564646,53,15.8602,69.7581,14.3817,19.3046,7.1942,62.7098,60.873,29.8413,10,2
7,7,G53003300062002,1570,6325.007236,0.1276,46.7,69778,-4.1445,743200,-2.1075,1075,-46.2769,77.7778,0,84.9398,0,83.9344,610,2457.486888,76,25.7576,61.9697,12.2727,16.7901,9.3827,54.0741,81.9948,10.2332,10,2
8,8,G53003300062003,954,4071.42427,-13.9765997,46.5,87457,-4.653,905000,-4.3644,1750,-3.4749,71.4286,14.2857,83.4446,0,70.5426,387,1651.615506,76,18.6475,73.3607,7.9918,16.7549,17.4603,51.8519,88.6412,9.5541,10,2
9,9,G53003300062001,1539,2256.2928,1.3834,35.5,55900,-0.4328,752100,5.8848,1440,9.2564,65.0485,31.068,83.0875,0,54.2714,597,875.2480842,76,15.0685,77.9452,6.9863,27.8607,15.9204,47.0149,80.3139,16.8084,10,2
10,10,G53003300061003,1389,7445.720094,18.8195,32.8,60453,3.0601,730100,51.222,1134,11.1765,66,21.5714,75.9067,10.4847,29.5028,1011,5419.455014,53,17.2081,68.2177,14.5742,24.8075,8.8109,63.8152,78.4737,14.7588,10,2
11,11,G53003300061004,1324,8281.330535,12.6808996,33.1,58880,29.3526,524100,-14.1945,1237,29.6646,53.2995,19.2893,74.4961,2.2067,16.8646,861,5385.36676,55,15.9334,58.8585,25.2081,22.3094,15.4709,56.5022,76.0488,22.8833,10,2
12,12,G53003300061001,1330,9003.397596,18.4328003,39.7,86321,1.2266,624000,14.5164,1660,50.0904,64.9254,22.3881,80.9524,6.1782,66.4625,696,4711.552426,76,27.5641,67.6282,4.8077,17.9514,16.5787,64.3083,78.2708,20.0459,10,2
13,13,G53003300060004,1365,10924.3432,50.4961014,26.8,41790,6.9126,408800,-29.916,1281,31.9258,80.1909,19.8091,68.0876,8.2583,14.5663,666,5330.1191,33,28.2543,46.115,25.6307,16.4286,2.7679,69.2857,63.8992,29.7257,2,1
14,14,G53003300060003,1219,8139.702133,-5.8687,38,119401,154.1582,714600,8.5029,0,0,100,0,72.2365,0,72.912,443,2958.070586,76,21.0762,65.7698,13.154,25.5348,0,61.7647,94.0115,1.8868,10,2
15,15,G53003300060002,1536,8950.314274,63.5783005,46.9,61486,0.2364,670300,-6.1073,2007,216.063,81.3043,18.6957,78.7448,7.728,67.3367,647,3770.086807,76,29.7897,55.8411,14.3692,20.6967,3.3811,59.3238,86.1328,9.1146,10,2
16,16,G53003300060001,1444,10888.91235,-10.2547998,41.3,61916,14.6295,355600,-39.5135,1524,43.3678,57.9477,34.004,72.7201,14.096,24.9703,979,7382.441266,39,22.9258,60.6987,16.3755,33.4956,14.3135,36.5141,81.7867,14.4044,4,1
17,17,G53003300059003,1504,18726.73877,-3.6515,19.8,13807,30.4516,0,0,0,0,24.4094,66.1417,74.9175,4.7244,35.124,254,3162.627425,61,66.7382,26.824,6.4378,4.9521,35.1438,33.0671,33.7101,30.3191,9,1
18,18,G53003300059005,1248,7584.38345,-14.1677999,38.7,65801,66.8213,667800,-0.015,1030,-8.6069,80.1242,11.1801,81.1343,0,80.5252,457,2777.29426,76,11.3809,75.8725,12.7466,15.0138,7.7135,68.0441,94.1748,2.9126,10,2
19,19,G53003300015002,1233,3051.38857,-4.2701998,51.4,61355,12.5677,594000,-5.5494,1250,42.8571,80.1802,7.2072,71.627,4.32,47.4916,625,1546.72981,65,13.7285,60.8424,25.429,14.8256,0,78.343,88.4236,9.1133,10,2
20,20,G53003300043013,1331,9231.716078,10.3648005,39.7,64650,-3.5276,601900,0.787,1383,11.3527,44.0415,28.4974,77.9289,1.1583,54.8828,518,3592.809112,76,17.5824,69.3878,13.0298,8.5404,16.9255,73.4472,83.0954,12.6221,10,2
21,21,G53003300056003,1140,1412.024934,-25.0986004,52.3,88469,10.3091,875000,-11.6519,2219,22.3264,66.6667,33.3333,77.5701,0,88.5393,445,551.1851716,73,15.1079,59.2326,25.6595,2.6639,6.7623,76.0246,78.8596,15.7018,10,2
22,22,G53003300057001,598,292.0566038,-13.9568005,32.2,59958,-13.6525,913500,-8.6501,0,0,70.9677,29.0323,70.8955,0,68.0412,194,94.7474601,64,36.5759,57.1984,6.2257,0,20.2335,79.7665,53.2588,30.9125,10,2
23,23,G53003300058023,1767,1661.668671,17.0974007,31.6,41764,-35.0331,496400,-11.3255,1202,43.9521,53.4579,41.1215,58.8916,10.4427,41.6984,881,828.4833612,49,12.0047,65.3846,22.6107,22.0323,4.2735,55.1757,68.7356,21.0345,2,2
24,24,G53003300032006,1808,2775.065473,40.9197006,44.6,50320,28.4034,719100,5.5947,1381,11.8219,76.8707,23.1293,78.7479,0,63.3784,740,1135.812196,65,14.7132,53.3666,31.9202,18.2327,13.7584,53.915,86.3793,9.2529,10,2
25,25,G53003300072003,1399,57944.64416,15.6197996,37,66537,18.0592,0,0,1339,33.7662,71.2766,23.3224,73.7472,16.0494,5.2632,1539,63743.25044,24,27.8689,48.4517,23.6794,28.508,50.3552,14.476,55.0393,28.8063,4,1
26,26,G53003300072002,1467,30824.84721,16.2441006,29.4,59759,42.4631,0,0,1346,21.0432,58.7379,32.7184,60.5,0,29.2233,1030,21642.53076,23,31.4554,55.3991,13.1455,14.4144,58.5586,22.973,52.7412,38.0291,4,1
27,27,G53003300074014,871,33792.58684,-22.1625996,35.4,54568,41.4962,250600,-11.0401,1293,46.9318,62.4506,19.5652,70.6302,8.9421,2.7663,794,30805.18249,57,14.6843,69.4567,15.859,16.4345,33.4262,44.9861,69.69,30.31,4,1
28,28,G53003300084001,1372,24131.06992,-9.0186005,28.5,46282,14.744,274000,0.8837,905,11.7284,52.1783,32.6241,64.2166,7.8761,13.6407,1130,19874.71502,76,13.969,69.4013,16.6297,29.4118,33.5512,33.6601,64.2121,26.1414,4,1
29,29,G53003300080015,1024,141630.746,16.3635998,29.7,74857,4.0692,0,0,1739,6.2958,84.7368,15.2632,76.797,10.5866,30.88,699,96679.58149,12,27.6812,67.1014,5.2174,8.2625,26.2454,49.3317,43.8477,53.0273,4,1
30,30,G53003300081003,1196,28230.31561,-5.9008999,61.1,47866,-7.6427,670600,60.2389,594,-1.1647,77.5777,19.9673,46.5548,23.7756,26.986,1123,26507.22778,26,37.2845,50.8621,11.8534,17.1154,43.2692,28.8462,81.7726,14.7993,4,1
31,31,G53003300084003,1392,41729.12521,41.0334015,31.7,50650,4.4416,350500,-5.2703,899,16.7532,64.5586,32.0158,70.2435,8.2412,21.3582,995,29827.93074,68,18.2879,70.5253,11.1868,33.578,48.0734,12.6606,67.6724,23.3477,4,1
32,32,G53003300119005,1135,3436.379402,-45.719799,38.1,33725,76.7928,289600,-16.3248,1558,184.8263,22.2222,34.7222,22.8009,0,60.8108,444,1344.27529,61,19.4595,57.2973,23.2432,11.4362,0,86.9681,87.3214,9.5536,2,2
33,33,G53003300119004,1744,7500.378544,6.7319002,38.3,15987,-7.8984,220300,-22.3749,863,-25.5393,52.6316,47.3684,12.7098,7.9208,74.4086,505,2171.841264,58,5.7903,55.3991,38.8106,5.2239,0,85.0746,88.9335,11.0665,8,3
34,34,G53003300119003,1532,8850.929948,21.5872993,34.1,22041,-18.3092,275000,-29.9363,1131,32.5909,73.4783,26.5217,14.6056,9.901,58.9011,505,2917.571556,55,5.3993,36.108,58.4927,20.3991,0,78.1596,85.1828,12.859,2,3
35,35,G53003300119002,1324,5051.219758,-9.5628004,40.8,30852,18.3429,274000,-3.9271,959,176.3689,28.8,71.2,49.0082,0,60.3738,535,2041.089555,65,10.3395,58.7963,30.8642,19.7531,3.0864,63.1173,98.4894,0,8,3
36,36,G53003300118006,2662,12748.27617,-2.8111999,21.6,8698,-41.186,341700,-1.6124,834,12.7027,31.9027,52.5036,9.3441,15.4362,86.2434,894,4281.351951,53,3.4749,75.0965,21.4286,5.5985,0,94.4015,62.6147,36.8502,2,3
37,37,G53003300118005,1603,13896.95674,39.1492996,44,15796,-20.3228,246800,-26.8957,857,9.8718,10.4167,89.5833,24.66,0,83.6689,447,3875.196296,45,24.8387,38.0645,37.0968,29.6774,0,70.3226,96.6937,0.9357,8,3
38,38,G53003300118004,1510,10009.64429,141.9869995,35.9,15853,1.4203,302100,-8.5654,646,6.425,31.0268,57.1429,12.2624,5.4962,37.3183,655,4341.931794,39,10.4651,59.3023,30.2326,29.0614,0,64.0794,75.1007,23.0201,2,3
39,39,G53003300118003,950,7247.086771,-16.4468002,32.2,23875,9.5334,300800,0.0333,1350,-0.9538,35,50,37.6532,0,63.2107,299,2280.925205,57,21.3873,55.106,23.5067,22.3507,0,77.6493,68.4724,31.5276,2,2
40,40,G53003300118002,625,4308.484238,-29.2985992,41.8,46272,125.9265,459600,53.4558,906,16.6023,70.6897,29.3103,41.5094,11.6883,66.9118,308,2123.221033,68,16.9761,48.5411,34.4828,29.1777,0,70.8223,89.6,2.88,5,2
41,41,G53003300118001,660,651.2524506,-37.9698982,56.1,63090,39.5642,503900,15.0457,1177,39.7862,100,0,64.9922,10.5747,41.9023,435,429.2345697,66,4.4077,67.7686,27.8237,4.1322,0,91.4601,97.5758,2.4242,10,2
42,42,G53003300117004,990,2962.717347,-26.8833008,40.6,28124,72.7094,265500,-23.6191,0,0,0,42.8571,34.0909,10.8992,87.7676,367,1098.300269,54,16.3265,48.9796,34.6939,12.8571,0,78.9796,94.6993,5.3007,5,3
43,43,G53003300117003,1826,9348.522536,-17.2257004,39.8,25923,32.7818,266000,-32.9975,1102,19.3933,92.8,7.2,33.595,1.7375,80.943,518,2651.990511,54,29.9097,60.7223,9.3679,13.5045,6.1384,79.2411,89.8551,8.5284,5,2
44,44,G53003300059004,1483,11428.65595,16.0407009,37.7,91472,41.6414,840700,27.3981,1458,46.8278,78.836,21.164,77.9919,2.4793,70.339,605,4662.398417,72,30.0113,64.0997,5.889,2.7719,6.7164,84.6482,85.3675,9.0357,10,2
45,45,G53003300059002,1334,9598.206521,-9.8038998,38,67969,26.2848,665600,-6.7134,1239,-22.2222,73.43,26.57,87.9237,0,57.0191,577,4151.548098,68,30.8036,52.381,16.8155,4.7559,6.5081,66.8335,69.3403,19.7901,10,2
46,46,G53003300059001,2136,8514.86833,50.8474998,25.5,35909,12.2332,503600,50.3284,1181,42.1179,45.9161,30.6843,66.313,10.8108,27.399,888,3539.889081,39,29.7561,64.3206,5.9233,8.0741,23.2296,63.6664,58.9888,26.1236,9,1
47,47,G53003300058022,1943,4466.260402,33.4477997,32.1,48249,-19.7201,407500,-7.3021,1261,28.1504,79.4771,12.1569,76.7266,3.6565,18.6231,1176,2703.202384,31,21.7949,57.4661,20.7391,13.1717,13.5649,60.1573,76.7356,18.548,2,1
48,48,G53003300058021,1506,10620.45265,4.1494002,37,54312,9.4118,602400,9.8468,993,13.4857,73.6709,13.6709,65.5675,11.778,38.896,883,6226.998464,49,22.0703,62.1094,15.8203,17.0152,7.1293,72.1483,94.1845,4.0775,10,2
49,49,G53003300058014,1308,2568.953296,8.8185997,37.4,45469,22.1956,438200,-9.1813,1016,28.1211,55.6452,25,49.0566,2.2762,42.236,659,1294.296806,52,36.4428,46.0199,17.5373,19.2029,16.3043,59.7826,66.2844,26.6055,10,2
50,50,G53003300058013,1106,8468.813249,2.7881,35.9,49994,5.2527,450000,16.6105,1175,22.9079,77,10.6667,47.6531,4.9759,34.2905,623,4770.407463,49,16.6284,68.1193,15.2523,17.8924,7.2448,70.5818,69.6203,18.6257,10,2
51,51,G53003300058012,1390,17012.95571,-17.9941006,39.6,40131,-7.3294,0,0,1207,10.3291,69.8113,18.6964,58.3259,4.717,26.7327,848,10379.12694,45,18.2741,53.0457,28.6802,20.0466,1.7483,67.4825,76.3939,18.0304,2,2
52,52,G53003300058011,1408,17140.63215,44.7070999,31.8,33540,-5.3024,550500,30.543,1043,0.9681,56.7308,26.6026,69.0745,15.9527,41.4763,677,8241.624977,43,32.4937,54.7859,12.7204,15.3656,3.4696,79.5539,86.0014,10.8399,2,2
53,53,G53003300057005,1075,5278.950124,-8.0410995,44.4,49952,-0.8594,779100,53.0648,1233,33.4416,77.2563,12.2744,66.5485,7.6775,43.659,521,2558.449316,41,14.9254,49.0879,35.9867,25.539,5.141,69.3201,78.4257,18.2702,10,2
54,54,G53003300057006,1603,11971.57182,32.3698997,37.9,57905,35.593,517300,10.5106,995,27.5641,54.4892,26.0062,71.8455,4.8143,65.3179,727,5429.402815,62,15.9538,58.9595,25.0867,18.6199,23.7678,52.3549,88.3175,10.6667,10,2
55,55,G53003300057004,1150,7372.18796,-6.5799999,39.4,45946,20.0136,555600,11.971,1135,-29.0625,67.6768,0,59.9051,11.8852,75.814,488,3128.371934,66,31.9778,56.5619,11.4603,5.915,5.5453,88.5397,85.815,13.2159,10,2
56,56,G53003300057003,938,5631.720184,12.4700003,45.6,52721,19.2109,634800,5.0993,1653,63.6634,79.5181,20.4819,70.5163,8.866,48.19,485,2911.923549,66,19.3676,45.4545,35.1779,18.75,7.9545,69.1288,89.9787,0,10,2
57,57,G53003300057002,1269,8426.542145,1.6827,41.5,60640,12.0514,627500,-1.3054,2563,100.3909,42.8571,57.1429,65.445,8.2267,65.3386,547,3632.244723,71,30.1639,38.3607,31.4754,11.6987,8.3333,75.8013,78.3784,17.965,10,2
58,58,G53003300114013,1541,7972.983592,3.911,36.4,30593,-13.6742,292100,-16.015,1059,26.2217,65.1007,21.4765,25.6479,8.2372,61.5799,607,3140.558754,56,24.2638,59.5995,16.1366,12.1047,5.1254,74.482,94.357,5.643,2,3
59,59,G53003300104013,1296,6390.905102,-26.2798996,42.2,23484,-15.6708,313900,-21.9543,0,0,0,100,29.1052,17.619,84.6821,420,2071.126653,58,7.8704,69.9074,22.2222,26.9865,1.4993,68.6657,94.5988,4.9383,8,3
60,60,G53003300110011,1133,10572.5089,7.9047999,37.1,21829,67.8896,306200,-0.7777,323,83.5227,57.4163,39.2344,33.4225,3.4568,60.3581,405,3779.228687,11,7.2034,67.5847,25.2119,12.426,4.931,75.7396,93.4105,5.8771,2,3
61,61,G53003300110022,2487,16568.71378,29.9372997,28.2,13358,-26.8496,347600,9.4114,495,-40,37.8613,56.6474,17.5166,1.5699,82.9346,637,4243.775905,16,8.877,66.4171,24.7059,30.385,0,66.077,94.8905,3.7307,2,3
62,62,G53003300114011,1476,10425.22311,9.9032001,32.1,22490,-8.3313,330600,10.4947,1196,42.0428,63.9676,23.4818,26.3993,11.3604,53.9557,713,5036.032571,30,5.8531,84.0598,10.0872,28.1401,0,68.8406,71.2534,14.782,2,2
63,63,G53003300110012,870,7201.984663,-8.8050003,40.8,16877,10.4227,282500,-19.2857,830,114.4703,26.4615,64.9231,17.0953,5.569,21.7949,413,3418.873179,14,7.0539,81.7427,11.2033,3.1008,0,90.3101,82.1886,11.4086,2,3
64,64,G53003300117002,1311,2140.299055,-25.0429001,39.8,21372,15.2626,288500,-6.5133,881,21.0165,25.9259,66.6667,23.4947,0,68.9573,422,688.9444707,55,7.6655,63.0662,29.2683,33.101,2.0906,60.6272,81.8459,12.5858,8,3
65,65,G53003300117001,1329,6278.019579,-5.0036001,36.8,16761,29.2988,350700,1.7406,0,0,67.5214,0,22.1861,8.1081,62.6697,481,2272.180149,30,11.8056,52.9514,35.2431,33.719,5.2893,56.1983,76.4215,21.0766,5,3
66,66,G53003300116006,975,1512.488622,-13.5637999,47.3,47975,50.5381,596200,10.2237,989,8.6813,34.5679,53.0864,51.6961,0,44.9664,447,693.4178606,54,21.118,44.7205,34.1615,18.0124,2.8986,79.089,90.6445,6.4449,10,2
67,67,G53003300116005,924,4652.357553,32.7585983,46.5,93870,75.4612,530700,-4.1366,990,122.4719,74.2188,16.4062,66.1499,0,53.9352,432,2175.128206,67,9.589,46.2329,44.1781,22.6708,8.0745,59.9379,76.7316,15.5844,10,2
68,68,G53003300116004,1052,4699.178433,27.2068005,43.3,47322,22.8856,534500,9.7536,1555,128.0059,61.9835,38.0165,46.7967,13.8322,73.1579,441,1969.902746,56,5.2326,75.1938,19.5736,8.079,0,84.5601,77.1863,22.5285,10,2
69,69,G53003300116003,1325,6198.083224,7.8990002,49,56202,-11.2231,542500,3.7087,534,-52.1505,71.5517,0,56.1922,9.2814,60.066,668,3124.769505,58,9.944,63.4454,26.6106,9.4059,0,77.2277,96.6038,3.3962,10,2
70,70,G53003300116002,1098,8925.688838,7.6471,48.8,55563,-19.1776,426700,-9.5591,1400,0,47.6684,43.5233,45.8874,0,59.116,543,4414.070163,65,12.7832,63.2686,23.9482,11.2835,1.8336,74.048,59.745,29.9636,10,2
71,71,G53003300116001,1196,6961.41283,-14.8753996,41.4,69812,101.3905,522100,12.1108,1165,-4.2728,29.6296,70.3704,63.5776,3.6545,54.1379,602,3503.988732,62,10.2178,48.4087,41.3735,16.1184,10.1974,71.875,85.5351,14.4649,10,2
72,72,G53003300115002,1358,6609.554139,2.6454999,41.3,44906,0.6545,365400,3.7479,878,-9.6708,78.5311,15.2542,48.9914,6.3988,55.3259,672,3270.707203,63,23.2614,39.3285,37.4101,7.9162,2.7939,84.6333,88.3562,9.8174,5,2
73,73,G53003300115001,1389,6493.831833,-6.8410001,40.2,36148,9.7123,327300,-9.5607,825,-7.9241,45.2381,45.2381,46.6414,1.4787,61.1632,541,2529.275033,72,9.6531,49.4721,40.8748,25.6115,2.446,67.3381,86.5484,5.6171,5,3
74,74,G53003300114023,1687,10114.04728,41.5267982,39.6,23957,-7.183,268800,-13.6524,0,0,59.6273,27.5362,35.7488,3.1646,55.0327,790,4736.275845,55,15.1125,56.4309,28.4566,9.6463,0.9646,89.3891,83.4025,8.8915,2,3
75,75,G53003300114022,1377,11112.79327,-6.6441002,33.5,23800,36.0155,238500,-20.6323,861,24.7826,43.6416,39.3064,33.0598,6.4516,60.6171,589,4753.402493,53,17.3145,56.7138,25.9717,11.204,13.5452,69.8997,80.4633,18.1467,2,3
76,76,G53003300114021,1341,8016.700377,-12.1232004,39,29018,3.9178,242400,-26.2325,962,24.129,81.1881,6.6007,24.9049,5.8923,56.7084,594,3551.021643,46,17.3913,54.8766,27.7321,18.583,3.252,77.0035,83.0723,9.7688,2,3
77,77,G53003300056005,1212,6178.328564,-12.6801004,42.8,60850,-10.4383,583300,-24.9582,0,0,0,100,87.396,8.0882,64.2,544,2773.111171,76,5.7692,78.8462,15.3846,14.9225,8.9147,66.8605,90.0418,9.9582,10,2
78,78,G53003300056004,1188,6824.584882,19.1574993,42.8,69528,-13.4244,801500,-1.9692,1900,-5.0475,70,0,65.5579,0,80.2817,426,2447.19963,72,17.5347,70.4861,11.9792,4.5752,6.3725,83.1699,81.4114,17.2978,10,2
79,79,G53003300056001,1307,7121.677467,9.0985003,50,73092,-10.3287,647100,-1.0399,0,0,0,100,76.1236,6.7881,76.5542,604,3291.119503,66,13.615,52.7387,33.6463,13.928,2.5039,81.5336,90.3596,8.4927,8,3
80,80,G53003300054004,1434,17051.3844,15.8319998,29.7,51023,24.772,420000,-13.1514,1278,21.3675,64.5306,26.8256,81.5813,0,21.5772,913,10856.28588,31,15.5386,76.6444,7.817,28.4838,15.5127,47.9404,64.7838,27.2664,4,1
81,81,G53003300054003,1446,12155.38189,66.016098,31.4,54817,45.7666,326300,-16.5046,967,-12.0109,73.8916,17.9803,71.3154,6.3694,28.9796,785,6598.876062,52,23.3701,59.4784,17.1515,17.4472,18.3655,55.7392,67.5,27.0714,4,1
82,82,G53003300054002,1171,2769.945153,-6.5443001,34.8,70642,40.5979,381000,-9.6085,1424,32.342,89.5765,0,76.8463,0,31.3559,708,1674.740536,37,44.709,39.2857,16.0053,20.6368,23.1132,45.4009,89.3766,10.6234,10,2
83,83,G53003300054001,971,11155.65179,10.8446999,37.6,50245,9.0789,621700,1.9849,1745,85.0477,62.6016,23.5772,91.4242,8.2774,68.5366,447,5135.506024,76,4.5669,77.3228,18.1102,26.2222,18.2222,49.6296,79.7071,14.749,10,2
84,84,G53003300053023,2661,2650.927406,-16.0832996,19.4,2517,-38.218,0,0,0,0,0,0,25,0,0,0,0,0,52.8822,34.8371,12.2807,21.0602,24.212,10.4585,44.006,14.6561,9,1
85,85,G53003300053022,1035,4599.993032,-18.5681,19.9,4513,-26.8439,0,0,0,0,100,0,55.3719,0,0,14,62.22212797,0,42.029,57.971,0,5.1793,11.5538,10.757,46.087,21.5459,9,1
86,86,G53003300053021,1482,51779.20849,56,19,3619,-27.1391,0,0,1120,26.4108,15.1786,58.9286,91.2088,0,12.5,112,3913.138563,76,46.4286,39.2857,14.2857,30.9524,23.8095,25.2381,17.4089,31.0391,9,1
87,87,G53003300053014,968,35164.24853,51.9622993,23.4,10692,-49.1559,0,0,913,21.2483,11.9011,70.17,32.7411,14.3046,4.9459,755,27426.66078,52,15.3846,42.4242,42.1911,68.2984,16.5501,15.1515,56.095,32.8512,9,1
88,88,G53003300053013,1080,19745.77739,2.2727001,23.7,13275,-24.8216,0,0,867,34.2105,19.7935,57.6592,54.7059,8.3333,11.2397,660,12066.86396,76,24.1784,72.77,3.0516,37.3494,34.9398,11.6466,56.3889,34.537,9,1
89,89,G53003300053012,1890,24417.33462,48.8189011,22.4,15768,-29.0273,133000,-40.8889,1047,34.9227,25.3359,52.2073,49.8641,4.5253,11.4312,1127,14559.9662,25,20.1238,63.4675,16.4087,39.5284,28.5714,21.4979,50.1587,41.2698,9,1
90,90,G53003300053011,3439,68504.18071,-15.0445004,20.7,6756,-13.0502,0,0,1269,83.6469,37.2671,43.4783,48.6014,0,18.8571,350,6971.92883,29,20.8893,70.3859,8.7248,21.3198,36.6207,28.3539,49.8831,25.453,9,1
91,91,G53003300052005,1113,17497.18176,-6.3919001,23.7,23153,-17.0352,262200,-28.4974,1388,58.0866,43.6145,56.3855,86.7173,0,25.4486,613,9636.812593,25,2.6432,68.9427,28.4141,33.7004,21.1454,45.1542,55.6767,41.6894,9,1
92,92,G53003300052004,1962,16793.04652,15.8889999,28.9,34613,-12.4896,576800,-8.1382,1552,20.8723,59.707,23.4432,67.9426,0,49.1682,541,4630.498557,76,19.7099,76.1945,4.0956,24.3458,28.4695,38.9374,65.0078,20.4769,10,2
93,93,G53003300005001,1092,1024.732904,-17.7710991,53.3,61557,-35.7349,642700,-1.2598,0,0,100,0,72.7932,5.0885,72.7273,452,424.1568429,59,7.907,74.8837,17.2093,6.6806,0,77.8706,94.1392,4.0293,10,2
94,94,G53003300114012,1024,7249.024094,-6.3129001,33.9,30298,-11.9219,240500,-0.6198,797,4.4561,65.2015,28.9377,29.79,12.3656,52.5562,558,3950.151801,35,21.037,51.4074,27.5556,21.3296,0,72.1607,91.0433,7.6772,2,3
95,95,G53003300113005,1105,9837.071931,11.8421001,31.4,32300,10.8784,293600,-12.93,1109,44.401,59.375,18.2292,38.0769,9.4092,57.4879,457,4068.363685,63,16.7109,76.6578,6.6313,12.3567,1.0191,80.2548,89.1818,7.3636,5,2
96,96,G53003300113004,1597,10463.71553,27.7600002,42.1,25004,-33.8343,267000,-16.6406,1026,21.564,38.5542,45.7831,16.5563,0,69.6498,514,3367.783208,67,14.1278,55.1597,30.7125,19.2217,4.0094,72.7594,84.9905,11.2096,8,3
97,97,G53003300113003,777,7269.428624,-18.2964993,37.7,25674,21.3212,260400,-16.6453,1326,41.8182,82.0755,17.9245,15.8845,0,57.732,291,2722.527322,71,3.8922,59.2814,36.8263,3.8922,0,96.1078,93.8224,4.3758,5,3
98,98,G53003300113002,997,6841.479689,-8.1952,36.1,29853,15.853,269400,-17.9409,0,0,57.6923,42.3077,33.2349,0,64.3875,351,2408.585126,56,26.2023,59.204,14.5937,12.7796,1.4377,82.1086,96.7579,0,5,3
99,99,G53003300113001,2493,3472.827881,99.1213989,52.5,28708,-10.4749,423500,4.0541,943,-9.6743,24.5583,61.8375,29.0819,6.6937,36.7391,1479,2060.293797,12,19.1423,65.795,15.0628,26.4648,1.4648,65.4297,70.8383,15.6037,2,3
100,100,G53003300112003,2208,10719.23558,40.2794991,27.2,16050,-12.3717,271100,-11.8087,774,15.3502,56.5012,36.4066,19.6763,6.525,57.4675,659,3199.264605,64,29.6954,48.4772,21.8274,21.7391,7.4534,64.9689,82.0853,9.9526,2,3
101,101,G53003300112002,728,1474.932539,-6.6666999,47.6,27534,50.2456,240900,0.3332,688,-2.1337,60.6218,20.2073,14.6538,3.3679,46.6488,386,782.0384066,74,20.7207,50.9009,28.3784,27.3305,5.9322,60.8051,94.3292,5.6708,5,3
102,102,G53003300112001,1238,2714.331036,-29.1762009,34.3,17803,-5.9038,208000,-17.7541,627,-28.6689,26.6968,53.8462,18.8946,11.1969,58.4783,518,1135.72171,53,29.2434,43.3538,27.4029,13.9764,8.4646,73.8189,81.5597,14.2973,8,3
103,103,G53003300111022,1309,11878.11748,7.3831,29.8,22758,38.6415,431700,3.9239,764,11.2082,66.9643,10.7143,32.2424,15.2642,56.1201,511,4636.912173,52,15.9864,53.2313,30.7823,17.7496,4.5959,70.8399,85.7692,10.3846,5,3
104,104,G53003300111024,1095,11285.73669,54.0084,32.1,25213,-18.0971,397700,3.433,737,27.069,82.8829,14.4144,48.4709,11.5265,83.4507,321,3308.421441,53,8.8725,55.0832,36.0444,19.6277,4.5685,65.8206,89.3953,8.6512,5,3
105,105,G53003300111023,1177,25774.87026,25.4797001,31.8,16423,3.9759,279900,-14.9757,785,26.409,40,60,16.3059,5.102,65.8602,392,8584.323825,53,15.3078,72.3794,12.3128,9.0909,3.5088,83.2536,79.8775,5.6868,8,3
106,106,G53003300111014,1445,10536.99594,64.578598,46.2,28938,22.9521,317900,17.7407,889,46.9421,61.1111,21.2963,29.2661,0,77.2727,440,3208.497035,61,10.6416,64.4757,24.8826,20.3313,2.1084,68.5241,89.7183,10.2817,5,3
107,107,G53003300052003,1069,8178.565986,34.9747009,33.3,49852,14.0152,476100,4.3393,1329,30.6785,44.3114,39.8204,73.9848,0,42.7007,548,4192.567035,76,27.8125,68.2812,3.9062,14.2469,27.5441,45.0475,80.0748,12.0674,10,2
